strategy_key,strategy_name,cap_variant,cap_label,start_date,end_date,final_nav,total_return,primary_benchmark_key,primary_benchmark_total_return,excess_total_return,max_drawdown,avg_cash_weight,cap_limit_primary,cap_limit_secondary,secondary_excess_total_return
p5,P5 Cash-Aware Copy,u0,Uncapped,2019-02-14,2026-05-18,1.489482567878,0.489482567878,SPY,2.000323571068,-1.510841003190,-0.626014977736,0.078459368997,1.000000000000,,
n4,N4 Industry Weight-Change Tilt,u0,Uncapped,2018-02-28,2026-05-29,3.219459550909,2.219459550909,VT,1.507418943940,0.712040606969,-0.249414519006,0.111111111111,1.000000000000,,
n6,N6 Top-3 Industry Leaders,u0,Uncapped,2018-02-28,2026-05-29,3.151802670271,2.151802670271,VT,1.507418943940,0.644383726331,-0.243000941596,0.000000000000,1.000000000000,,
s1,S1 Exposure Regime Overlay,u0,Uncapped,2019-02-14,2026-05-18,2.546536873784,1.546536873784,VT,1.499333093877,0.047203779907,-0.251241341828,0.270477398460,1.000000000000,1.000000000000,-0.453786697284
p5,P5 Cash-Aware Copy,m1,Moderate Caps,2019-02-14,2026-05-18,1.430004390371,0.430004390371,SPY,2.000323571068,-1.570319180697,-0.398885497588,0.490682455058,0.250000000000,,
n4,N4 Industry Weight-Change Tilt,m1,Moderate Caps,2018-02-28,2026-05-29,2.161633573496,1.161633573496,VT,1.507418943940,-0.345785370444,-0.195904477856,0.337759270712,0.350000000000,,
n6,N6 Top-3 Industry Leaders,m1,Moderate Caps,2018-02-28,2026-05-29,3.078795603885,2.078795603885,VT,1.507418943940,0.571376659945,-0.242522915904,0.008762537402,0.350000000000,,
s1,S1 Exposure Regime Overlay,m1,Moderate Caps,2019-02-14,2026-05-18,1.858760821649,0.858760821649,VT,1.499333093877,-0.640572272228,-0.235255436801,0.418781906057,0.350000000000,0.750000000000,-1.141562749419
p5,P5 Cash-Aware Copy,t1,Tight Caps,2019-02-14,2026-05-18,1.433671624639,0.433671624639,SPY,2.000323571068,-1.566651946429,-0.364634221860,0.539830177023,0.200000000000,,
n4,N4 Industry Weight-Change Tilt,t1,Tight Caps,2018-02-28,2026-05-29,2.019358187222,1.019358187222,VT,1.507418943940,-0.488060756718,-0.182420402256,0.385916104951,0.300000000000,,
n6,N6 Top-3 Industry Leaders,t1,Tight Caps,2018-02-28,2026-05-29,2.844397000004,1.844397000004,VT,1.507418943940,0.336978056064,-0.216807104987,0.102188559149,0.300000000000,,
s1,S1 Exposure Regime Overlay,t1,Tight Caps,2019-02-14,2026-05-18,1.709788725470,0.709788725470,VT,1.499333093877,-0.789544368407,-0.192937334042,0.517448074474,0.300000000000,0.600000000000,-1.290534845598
